"Year","Make","Freq"
"2020","MERCEDES-BENZ",32
"2021","MERCEDES-BENZ",0
"2022","MERCEDES-BENZ",130
"2012","MINI",0
"2013","MINI",0
"2014","MINI",0
"2015","MINI",0
"2016","MINI",0
"2017","MINI",0
"2018","MINI",50
"2019","MINI",100
"2020","MINI",3
"2021","MINI",143
"2022","MINI",212
"2012","MITSUBISHI",42
"2013","MITSUBISHI",0
"2014","MITSUBISHI",10
"2015","MITSUBISHI",0
"2016","MITSUBISHI",12
"2017","MITSUBISHI",1
"2018","MITSUBISHI",183
"2019","MITSUBISHI",146
"2020","MITSUBISHI",97
"2021","MITSUBISHI",8
"2022","MITSUBISHI",89
"2012","NISSAN",608
"2013","NISSAN",1965
"2014","NISSAN",694
"2015","NISSAN",1839
"2016","NISSAN",1208
"2017","NISSAN",934
"2018","NISSAN",1232
"2019","NISSAN",1408
"2020","NISSAN",580
"2021","NISSAN",534
"2022","NISSAN",970
"2012","POLESTAR",0
"2013","POLESTAR",0
"2014","POLESTAR",0
"2015","POLESTAR",0
"2016","POLESTAR",0
"2017","POLESTAR",0
"2018","POLESTAR",0
"2019","POLESTAR",0
"2020","POLESTAR",0
"2021","POLESTAR",98
"2022","POLESTAR",372
"2012","PORSCHE",0
"2013","PORSCHE",0
"2014","PORSCHE",8
"2015","PORSCHE",33
"2016","PORSCHE",78
"2017","PORSCHE",71
"2018","PORSCHE",78
"2019","PORSCHE",62
"2020","PORSCHE",143
"2021","PORSCHE",145
"2022","PORSCHE",200
"2012","RIVIAN",0
"2013","RIVIAN",0
"2014","RIVIAN",0
"2015","RIVIAN",0
"2016","RIVIAN",0
"2017","RIVIAN",0
"2018","RIVIAN",0
"2019","RIVIAN",0
"2020","RIVIAN",0
"2021","RIVIAN",0
"2022","RIVIAN",885
"2012","SMART",0
"2013","SMART",29
"2014","SMART",71
"2015","SMART",52
"2016","SMART",31
"2017","SMART",34
"2018","SMART",47
"2019","SMART",9
"2020","SMART",0
"2021","SMART",0
"2022","SMART",0
"2012","SUBARU",0
"2013","SUBARU",0
"2014","SUBARU",0
"2015","SUBARU",0
"2016","SUBARU",0
"2017","SUBARU",0
"2018","SUBARU",0
"2019","SUBARU",58
"2020","SUBARU",0
"2021","SUBARU",0
"2022","SUBARU",0
"2012","TESLA",134
"2013","TESLA",814
"2014","TESLA",683
"2015","TESLA",1089
"2016","TESLA",1637
"2017","TESLA",1679
"2018","TESLA",7918
"2019","TESLA",4583
"2020","TESLA",7017
"2021","TESLA",11028
"2022","TESLA",14548
"2012","TOYOTA",385
"2013","TOYOTA",296
"2014","TOYOTA",214
"2015","TOYOTA",89
"2016","TOYOTA",0
"2017","TOYOTA",898
"2018","TOYOTA",659
"2019","TOYOTA",190
"2020","TOYOTA",311
"2021","TOYOTA",935
"2022","TOYOTA",424
"2012","VOLKSWAGEN",0
"2013","VOLKSWAGEN",0
"2014","VOLKSWAGEN",0
"2015","VOLKSWAGEN",124
"2016","VOLKSWAGEN",319
"2017","VOLKSWAGEN",52
"2018","VOLKSWAGEN",39
"2019","VOLKSWAGEN",495
"2020","VOLKSWAGEN",0
"2021","VOLKSWAGEN",988
"2022","VOLKSWAGEN",428
"2012","VOLVO",0
"2013","VOLVO",0
"2014","VOLVO",0
"2015","VOLVO",0
"2016","VOLVO",112
"2017","VOLVO",115
"2018","VOLVO",226
"2019","VOLVO",190
"2020","VOLVO",162
"2021","VOLVO",580
"2022","VOLVO",882
